DBN,School Name,# Total Students,# Students in Temporary Housing,% Students in Temporary Housing,# Students Residing in Shelter,# Residing in DHS Shelter,# Residing in Non-DHS Shelter,# Doubled Up,# Others
02M308,Lower Manhattan Arts Academy,320,36,0.11,12,0,0,20,4
02M312,New York City Lab Middle School for Collaborative,556,0,0,0,0,0,0,0
02M313,"James Baldwin School, The: A School for Expedition",267,26,0.10,12,0,0,8,6
02M316,"Urban Assembly School of Business for Young Women,",228,20,0.09,8,0,0,10,2
02M340,Sixth Avenue Elementary School,288,8,0.03,7,0,0,0,1
02M343,The Peck Slip School,452,0,0,0,0,0,0,0
02M347,The 47 American Sign Language & English Lower Scho,206,31,0.15,12,0,0,13,6
02M374,Gramercy Arts High School,484,34,0.07,16,10,6,13,5
02M376,NYC iSchool,459,19,0.04,0,0,0,11,8
02M391,District 2 Pre-K Center,390,7,0.02,0,0,0,0,7
02M392,MANHATTAN BUSINESS ACADEMY,425,33,0.08,14,0,0,18,1
02M393,Business Of Sports School,437,49,0.11,23,14,9,21,5
02M394,Emma Lazarus High School,378,22,0.06,6,0,0,15,1
02M397,Spruce Street School,550,16,0.03,12,0,0,0,4
02M399,The High School For Language And Diplomacy,336,47,0.14,10,0,0,34,3
02M400,High School for Environmental Studies,1200,90,0.08,29,20,9,54,7
02M407,Institute for Collaborative Education,497,16,0.03,0,0,0,6,10
02M408,Professional Performing Arts High School,567,24,0.04,0,0,0,0,24
02M411,Baruch College Campus High School,472,25,0.05,0,0,0,23,2
02M412,N.Y.C. Lab School for Collaborative Studies,495,10,0.02,0,0,0,7,3
02M413,School of the Future High School,759,39,0.05,0,0,0,26,13
02M414,N.Y.C. Museum School,446,10,0.02,0,0,0,6,4
02M416,Eleanor Roosevelt High School,542,0,0,0,0,0,0,0
02M418,Millennium High School,665,26,0.04,0,0,0,22,4
02M419,Landmark High School,352,20,0.06,8,0,0,10,2
02M420,High School for Health Professions and Human Servi,1812,111,0.06,27,20,7,77,7
02M422,Quest to Learn,577,67,0.12,35,26,9,26,6
02M425,Leadership and Public Service High School,524,49,0.09,25,14,11,21,3
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,291,105,0.36,18,0,0,82,5
02M432,Murray Hill Academy,307,28,0.09,8,0,0,17,3
02M437,Hudson High School of Learning Technologies,469,47,0.10,18,8,10,26,3
02M438,International High School at Union Square,383,153,0.40,11,0,0,137,5
02M439,Manhattan Village Academy,461,18,0.04,0,0,0,14,4
02M442,"Ballet Tech, NYC Public School for Dance",145,0,0,0,0,0,0,0
02M444,Home Schooling,287,17,0.06,15,0,0,0,2
02M449,Vanguard High School,449,24,0.05,10,0,0,11,3
02M459,Manhattan International High School,341,77,0.23,8,0,0,63,6
02M473,Washington Irving Yabc,116,12,0.10,8,0,0,0,4
02M475,Stuyvesant High School,3339,53,0.02,0,0,0,49,4
02M489,High School of Economics and Finance,736,53,0.07,17,11,6,34,2
02M500,Unity Center for Urban Technologies,261,35,0.13,20,11,9,12,3
02M507,Urban Assembly Gateway School for Technology,460,38,0.08,15,6,9,23,0
02M519,Talent Unlimited High School,480,19,0.04,0,0,0,13,6
02M520,Murry Bergtraum High School for Business Careers,258,20,0.08,9,0,0,8,3
02M527,P.S. 527 - East Side School for Social Action,401,15,0.04,0,0,0,7,8
02M529,Jacqueline Kennedy Onassis High School,573,72,0.13,31,17,14,35,6
02M531,Repertory Company High School for Theatre Arts,245,14,0.06,0,0,0,9,5
02M533,Union Square Academy for Health Sciences,409,32,0.08,11,0,0,20,1
02M534,Harvest Collegiate High School,495,31,0.06,9,0,0,20,2
22K245,P.S. 245,330,31,0.09,8,0,0,22,1
02M542,Manhattan Bridges High School,542,132,0.24,13,0,0,113,6
02M543,New Design High School,427,43,0.10,18,9,9,22,3
02M544,Independence High School,387,54,0.14,29,21,8,18,7
02M545,High School for Dual Language and Asian Studies,396,56,0.14,0,0,0,56,0
02M546,Academy for Software Engineering,457,18,0.04,10,0,0,7,1
02M550,Liberty High School Academy for Newcomers,549,171,0.31,16,0,0,141,14
02M551,Urban Assembly New York Harbor School,521,22,0.04,8,0,0,12,2
02M560,High School M560 - City As School,682,64,0.09,26,15,11,32,6
02M565,Urban Academy Laboratory High School,159,9,0.06,0,0,0,0,9
02M570,Satellite Academy High School,274,23,0.08,0,0,0,12,11
02M575,Manhattan Comprehensive Night and Day High School,880,99,0.11,25,11,14,56,18
02M580,Richard R. Green High School of Teaching,502,35,0.07,17,10,7,16,2
02M586,Harvey Milk High School,88,13,0.15,0,0,0,6,7
